lib_name,lib_code
B232秦汉哲学(总论)(公元前221~公元220年),B232
B233秦代哲学(公元前221~前207年),B233
B234汉代哲学(公元前206~公元220年),B234
B234.1陆贾,B234.1
B234.2贾谊(公元前200~前168年),B234.2
"B234.4淮南子(刘安,公元前179~前122年)",B234.4
B234.5董仲舒(公元前179~前104年),B234.5
B234.7桓谭(约前20~56年),B234.7
B234.8王充(27~约97年),B234.8
B234.93王符,B234.93
B234.94荀悦(148~209年),B234.94
B234.99其他,B234.99
B235三国、晋、南北朝哲学(220~589年),B235
B235.1何晏(190~249年),B235.1
B235.2王弼(226~249年),B235.2
B235.3嵇康(224~263年),B235.3
B235.4杨泉,B235.4
B235.5裴頠(267~300年),B235.5
B235.6郭象(252~312年),B235.6
"B235.7抱朴子(葛洪,约284~364年)",B235.7
B235.8范缜(约450~510年),B235.8
B235.9其他,B235.9
B241隋、唐、五代哲学(581~960年),B241
"B241.1文中子(王通,584~617年)",B241.1
B241.2吕才(600~665年),B241.2
B241.6李翱(772~841年),B241.6
B241.7刘禹锡(772~842年),B241.7
B241.8谭峭,B241.8
B241.9其他,B241.9
B244宋、元哲学(960~1368年),B244
B244.1李觏(1009~1059年),B244.1
"B244.2周敦颐(濂溪,1017~1073年)",B244.2
"B244.3邵雍(康节,1011~1077年)",B244.3
"B244.4张载(横渠,1020~1077年)",B244.4
B244.5王安石(1021~1086年),B244.5
"B244.6程颢(明道,1032~1085年)、程颐(伊川,1033~1107年)及程朱理学",B244.6
B244.7朱熹(1130~1200年)及考亭学派,B244.7
"B244.8陆九渊(象山,1139~1193年)及其学派",B244.8
B244.91陈亮(1143~1194年)及永康学派,B244.91
B244.92叶适(1150~1223年)及永嘉学派,B244.92
B244.93邓牧(1247~1306年),B244.93
B244.99其他,B244.99
B248明代哲学(1368~1644年),B248
B248.1陈献章(1428~1500年),B248.1
"B248.2王守仁(王阳明,1472~1528年)及陆王学派",B248.2
B248.3王艮(1483~1541年)及泰州学派,B248.3
B248.4王廷相(1474~1544年),B248.4
B248.5罗钦顺(1465~1547年),B248.5
B248.6黄绾(1477~1551年),B248.6
B248.7何心隐(1517~1579年),B248.7
B248.91李贽(1527~1602年),B248.91
B248.92吕坤(1536~1618年),B248.92
B248.93方以智(1611~1671年),B248.93
B248.99其他,B248.99
B249清代哲学(1644~1840年),B249
B249.1顾炎武(1613~1682年),B249.1
"B249.2王夫之(船山,1619~1692年)",B249.2
"B249.3黄宗羲(梨州,1610~1695年)",B249.3
B249.4唐甄(1630~1704年),B249.4
"B249.5颜元(习斋,1635~1704年)、李塨(恕谷,1659~1733年)及颜李学派",B249.5
"B249.6戴震(东原,1723~1777年)",B249.6
"B249.7章学诚(实斋,1738~1801年)",B249.7
"B249.8焦循(理堂,1763~1820年)",B249.8
B249.9其他,B249.9
B25近代哲学(1840~1918年),B25
B251龚自珍(1792~1841年),B251
B252魏源(1794~1857年),B252
B254谭嗣同(1865~1898年),B254
B256严复(1853~1921年),B256
B258康有为(1858~1927年),B258
B259.1梁启超(1873~1929年),B259.1
B259.2章炳麟(1869~1936年),B259.2
B259.9其他,B259.9
B26现代哲学(1919年~),B26
B261二十世纪哲学,B261
B262二十一世纪哲学,B262
B27马克思主义哲学在中国的传播与发展,B27
B3亚洲哲学,B3
B302古代哲学,B302
B303中世纪哲学,B303
B304近代哲学,B304
B305现代哲学,B305
B307马克思主义哲学在亚洲的传播与发展,B307
B312朝鲜哲学,B312
